,강남11개구,강북14개구,수도권,전국,KOSPI,S&P 500
1993-01-01,16.9697623728,31.153578763,,32.6215831107,670.56,438.7799987792969
1993-02-01,17.2396590334,31.5400249075,,32.879461212,642.96,443.3800048828125
1993-03-01,17.2059219508,31.5102991501,,32.9116956996,666.75,451.6700134277344
1993-04-01,17.0878421618,31.1238519784,,32.7182876737,721.57,440.19000244140625
1993-05-01,16.9360252902,30.7076780223,,32.5248785477,752.31,450.19000244140625
1993-06-01,16.7167342535,30.4104112042,,32.2670004464,748.87,450.5299987792969
1993-07-01,16.6492600884,30.3806844197,,32.1058269082,729.94,448.1300048828125
1993-08-01,16.5817859233,30.3806844197,,32.0091223451,664.88,463.55999755859375
1993-09-01,16.5480488407,30.3212308507,,31.9446533699,718.87,458.92999267578125
1993-10-01,16.5311802994,30.2617772816,,31.9124188823,750.72,467.8299865722656
1993-11-01,16.5143117581,30.2320504971,,31.8801832945,811.06,461.7900085449219
1993-12-01,16.446837593,30.1131443861,,31.7834798316,866.18,466.45001220703125
1994-01-01,16.4974432168,30.1428701435,,31.8157143193,945.71,481.6099853515625
1994-02-01,16.6323915471,30.2320504971,,31.9124188823,918.88,467.1400146484375
1994-03-01,16.6998657122,30.0536908171,,31.9446533699,867.22,445.7699890136719
1994-04-01,16.682997171,29.9942372481,,31.9124188823,908.72,450.9100036621094
1994-05-01,16.6661286297,29.9942372481,,31.8801832945,939.49,456.5
1994-06-01,16.6661286297,29.9050568945,,31.8801832945,933.36,444.2699890136719
1994-07-01,16.6661286297,29.8456033255,,31.8479488069,927.97,458.260009765625
1994-08-01,16.682997171,29.9050568945,,31.8801832945,944.23,475.489990234375
1994-09-01,16.80107696,29.9942372481,,32.0091223451,1050.51,462.7099914550781
1994-10-01,16.80107696,29.9645104635,,32.0735924205,1105.62,472.3500061035156
1994-11-01,16.80107696,29.9645104635,,32.0091223451,1074.41,453.69000244140625
1994-12-01,16.80107696,29.9645104635,,32.0091223451,1027.37,459.2699890136719
1995-01-01,16.8179455012,29.9645104635,,32.0091223451,925.56,470.4200134277344
1995-02-01,16.8348140425,29.9645104635,,32.0735924205,885.69,487.3900146484375
1995-03-01,16.8516825838,30.0834176016,,32.1380613958,931.78,500.7099914550781
1995-04-01,16.919156749,30.0834176016,,32.2025314712,897.0,514.7100219726562
1995-05-01,16.8854196664,29.9942372481,,32.1702969835,882.5,533.4000244140625
1995-06-01,16.8854196664,29.9942372481,,32.1702969835,894.41,544.75
1995-07-01,16.8685511251,29.934783679,,32.1380613958,933.57,562.0599975585938
1995-08-01,16.9360252902,29.934783679,,32.1702969835,914.06,561.8800048828125
1995-09-01,17.0203679967,29.7861497564,,32.2670004464,982.65,584.4099731445312
1995-10-01,16.919156749,29.7861497564,,32.2670004464,990.26,581.5
1995-11-01,16.8854196664,29.7266972145,,32.2347659588,930.92,605.3699951171875
1995-12-01,16.8685511251,29.7266972145,,32.2347659588,882.94,615.9299926757812
1996-01-01,16.9528938315,29.7266972145,,32.3314705218,878.82,636.02001953125
1996-02-01,17.0034994554,29.756423999,,32.4604095724,852.83,640.4299926757812
1996-03-01,17.0203679967,29.7266972145,,32.6215831107,874.16,645.5
1996-04-01,17.0034994554,29.7861497564,,32.6538175983,980.9,654.1699829101562
1996-05-01,17.0034994554,29.756423999,,32.6538175983,903.09,669.1199951171875
1996-06-01,17.0034994554,29.7266972145,,32.6215831107,817.43,670.6300048828125
1996-07-01,17.0203679967,29.756423999,,32.6215831107,821.71,639.9500122070312
1996-08-01,17.1047107031,29.87533011,,32.7182876737,781.49,651.989990234375
1996-09-01,17.2902646572,30.3806844197,,32.976165775,789.67,687.3300170898438
1996-10-01,17.3071340931,30.4995905307,,33.1051048256,757.59,705.27001953125
1996-11-01,17.4589509646,30.4104112042,,33.2018093886,726.48,757.02001953125
1996-12-01,17.6782420013,30.6184976687,,33.3629829269,651.22,740.739990234375
1997-01-01,18.3361151114,31.3022116584,,34.0399126677,685.84,786.1599731445312
1997-02-01,18.6734859371,31.9264720791,,34.6523734332,676.53,790.8200073242188
1997-03-01,18.606011772,31.8670195372,,34.8457825592,677.34,757.1199951171875
1997-04-01,18.5216690656,31.9561988636,,34.8780170468,703.23,801.3400268554688
1997-05-01,18.487931983,31.8372927527,,34.8780170468,756.77,848.280029296875
1997-06-01,18.5048005243,31.8075659682,,34.8457825592,745.4,885.1400146484375
1997-07-01,18.5216690656,31.7481123991,,34.8780170468,726.12,954.3099975585938
1997-08-01,18.6734859371,31.7778391836,,35.0069560975,695.37,899.469970703125
1997-09-01,18.8421722445,32.2534656817,,35.2003641234,647.11,947.280029296875
1997-10-01,18.8421722445,32.2831924662,,35.2325997111,470.79,914.6199951171875
1997-11-01,18.724091561,32.2534656817,,35.1358951481,407.86,955.4000244140625
1997-12-01,18.6397488546,32.0751060017,,34.9424860221,376.31,970.4299926757812
1998-01-01,18.3361151114,31.8372927527,,34.6201389456,567.38,980.280029296875
1998-02-01,17.8469274142,31.391392012,,33.9432092048,558.98,1049.3399658203125
1998-03-01,17.2227904921,30.0239640326,,32.976165775,481.04,1101.75
1998-04-01,16.3793634278,28.6862628377,,31.9446533699,421.22,1111.75
1998-05-01,15.7552265057,27.7052810028,,30.9776099401,332.03,1090.8199462890625
1998-06-01,15.4853298452,27.2296545047,,30.5263238129,297.88,1133.8399658203125
1998-07-01,15.6877523406,27.2296545047,,30.4296192499,343.33,1120.6700439453125
1998-08-01,16.0251240608,27.2296545047,,30.5585583006,310.16,957.280029296875
1998-09-01,15.856438648,27.0810205821,,30.3006801993,310.32,1017.010009765625
1998-10-01,15.535935469,26.724300195,,30.042802098,403.44,1098.6700439453125
1998-11-01,15.4347242213,26.3973065924,,29.9138630474,451.88,1163.6300048828125
1998-12-01,16.1263353086,26.7540269795,,30.2039756363,562.46,1229.22998046875
1999-01-01,16.6661286297,27.5269213228,25.5085521284,30.8809053771,571.43,1279.6400146484375
1999-02-01,16.7336027948,27.6161016763,25.7136458555,31.1387834783,520.06,1238.3299560546875
1999-03-01,16.8516825838,27.8241881408,25.9443771131,31.3966626797,618.98,1286.3699951171875
1999-04-01,16.9528938315,27.9133684944,25.9700135574,31.5256017304,752.59,1335.1800537109375
1999-05-01,17.1384477857,28.002548848,26.2263812593,31.6867752686,736.02,1301.8399658203125
1999-06-01,17.3408711756,28.0322756325,26.4571114308,31.8801832945,883.0,1372.7099609375
1999-07-01,17.66137346,28.299815666,26.7134791327,32.0735924205,969.72,1328.719970703125
1999-08-01,18.1842982399,28.6268092686,27.2262134504,32.4604095724,937.88,1320.4100341796875
1999-09-01,18.5554061482,29.1024357667,27.7389477681,32.8472267243,836.18,1282.7099609375
1999-10-01,18.4710634417,29.1916161203,27.790221743,32.9116956996,833.51,1362.9300537109375
1999-11-01,18.4035892766,29.0429832248,27.6876748794,32.8149922367,996.66,1388.9100341796875
1999-12-01,18.5891432307,28.9240760867,27.7133113238,32.7827566489,1028.07,1469.25
2000-01-01,18.8084342674,29.1916161203,27.9696790257,32.9439312873,943.88,1394.4599609375
2000-02-01,19.1120689051,29.5483365074,28.3029560607,33.2018093886,828.38,1366.4200439453125
2000-03-01,19.3650970244,29.6672436455,28.5336873183,33.3952174145,860.94,1498.5799560546875
2000-04-01,19.3482284831,29.7266972145,28.584960207,33.4596874899,725.39,1452.4300537109375
2000-05-01,19.3313599418,29.69697043,28.5593237626,33.3952174145,731.88,1420.5999755859375
2000-06-01,19.3313599418,29.7266972145,28.5080497878,33.3307484392,821.22,1454.5999755859375
2000-07-01,19.5506509785,29.7861497564,28.6362341818,33.3629829269,705.97,1430.8299560546875
2000-08-01,19.6181251437,30.0536908171,28.7644174897,33.4274519021,688.62,1517.6800537109375
2000-09-01,19.7868105565,30.1725969281,28.9438747724,33.5886265405,613.22,1436.510009765625
2000-10-01,19.9048903455,30.2915040661,29.0720580803,33.6530955158,514.48,1429.4000244140625
2000-11-01,19.7530734739,30.0536908171,28.8926007976,33.5241564651,509.23,1314.949951171875
2000-12-01,19.5169138959,29.69697043,28.584960207,33.2340438762,504.62,1320.280029296875
2001-01-01,19.5675195198,29.6672436455,28.6362341818,33.2662783639,617.91,1366.010009765625
2001-02-01,19.7699420152,30.0239640326,28.8926007976,33.4596874899,578.1,1239.93994140625
2001-03-01,19.9386274281,30.2915040661,29.2002424744,33.7498000788,523.22,1160.3299560546875
2001-04-01,20.1747870061,30.5887708842,29.5591559537,34.0721482554,577.36,1249.4599609375
2001-05-01,20.5121587263,30.9752180559,29.9437069635,34.4267298196,612.16,1255.8199462890625
